time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
2024-01-01,7.3,2.8,4.3,0.2,0.2,0.0,2.0
2024-01-02,9.6,1.7,5.5,1.7,1.7,0.0,7.0
2024-01-03,11.0,7.0,9.0,0.7,0.7,0.0,1.0
2024-01-04,7.8,1.9,5.7,2.5,2.5,0.0,7.0
2024-01-05,8.3,0.1,3.5,4.9,4.9,0.0,10.0
2024-01-06,4.4,1.0,2.7,17.6,15.7,1.33,24.0
2024-01-07,0.9,-4.8,-0.6,15.3,1.4,9.73,22.0
2024-01-08,-2.9,-7.9,-4.7,0.2,0.0,0.14,2.0
2024-01-09,-4.4,-12.4,-8.0,0.0,0.0,0.0,0.0
2024-01-10,-3.7,-13.1,-8.2,0.0,0.0,0.0,0.0
2024-01-11,-4.9,-11.4,-8.0,0.0,0.0,0.0,0.0
2024-01-12,-2.7,-9.1,-5.8,0.0,0.0,0.0,0.0
2024-01-13,-2.1,-9.2,-5.1,0.0,0.0,0.0,0.0
2024-01-14,1.0,-8.1,-4.6,0.0,0.0,0.0,0.0
2024-01-15,1.8,-4.4,-1.7,2.1,0.0,1.47,5.0
2024-01-16,0.1,-9.1,-4.9,0.0,0.0,0.0,0.0
2024-01-17,5.8,-4.9,1.3,8.8,6.8,1.4,15.0
2024-01-18,9.6,-1.2,4.3,11.0,6.4,3.22,15.0
2024-01-19,-0.6,-5.7,-2.6,1.1,0.0,0.77,5.0
2024-01-20,1.3,-8.3,-5.3,0.0,0.0,0.0,0.0
2024-01-21,5.8,-9.0,-2.6,0.0,0.0,0.0,0.0
2024-01-22,11.4,-5.4,2.8,8.2,8.2,0.0,7.0
2024-01-23,5.9,3.2,4.5,2.4,2.3,0.07,11.0
2024-01-24,12.8,5.4,9.4,4.7,4.7,0.0,7.0
2024-01-25,8.1,5.2,6.3,1.7,1.7,0.0,9.0
2024-01-26,11.4,3.0,7.3,4.8,4.8,0.0,9.0
2024-01-27,5.9,-2.3,0.9,0.0,0.0,0.0,0.0
2024-01-28,9.2,-3.8,0.6,0.0,0.0,0.0,0.0
2024-01-29,10.6,-4.7,0.6,0.0,0.0,0.0,0.0
2024-01-30,11.1,-1.8,3.1,0.0,0.0,0.0,0.0
2024-01-31,10.8,0.6,4.3,0.0,0.0,0.0,0.0
2024-02-01,7.1,2.7,5.8,6.2,6.2,0.0,11.0
2024-02-02,7.8,4.3,6.0,0.4,0.4,0.0,3.0
2024-02-03,11.0,4.8,7.5,0.0,0.0,0.0,0.0
2024-02-04,10.2,5.0,7.2,3.7,3.7,0.0,6.0
2024-02-05,11.9,6.3,8.4,0.0,0.0,0.0,0.0
2024-02-06,9.8,4.8,7.6,0.0,0.0,0.0,0.0
2024-02-07,10.3,4.3,7.5,0.2,0.2,0.0,2.0
2024-02-08,12.8,6.7,9.3,3.0,3.0,0.0,4.0
2024-02-09,12.2,5.7,8.2,0.4,0.4,0.0,4.0
2024-02-10,13.9,3.8,8.0,0.0,0.0,0.0,0.0
2024-02-11,8.9,4.2,6.1,3.8,3.8,0.0,14.0
2024-02-12,8.4,3.3,5.2,6.2,4.3,1.33,7.0
2024-02-13,8.4,0.6,4.3,1.5,1.5,0.0,9.0
2024-02-14,12.6,0.6,6.6,0.0,0.0,0.0,0.0
2024-02-15,14.7,3.7,8.4,0.0,0.0,0.0,0.0
2024-02-16,16.1,1.4,8.2,0.0,0.0,0.0,0.0
2024-02-17,11.6,4.1,9.1,6.6,6.6,0.0,11.0
2024-02-18,12.9,3.5,8.2,0.0,0.0,0.0,0.0
2024-02-19,9.4,4.9,7.2,9.1,9.1,0.0,17.0
2024-02-20,7.8,3.6,5.7,7.1,6.3,0.56,13.0
2024-02-21,12.4,2.1,6.8,0.0,0.0,0.0,0.0
2024-02-22,10.1,5.7,7.6,6.0,6.0,0.0,19.0
2024-02-23,6.9,0.5,3.8,7.1,7.1,0.0,19.0
2024-02-24,8.8,-2.8,2.9,0.4,0.4,0.0,2.0
2024-02-25,10.5,0.4,4.4,3.1,2.2,0.63,6.0
2024-02-26,12.3,-1.2,4.6,0.1,0.1,0.0,1.0
2024-02-27,8.6,1.7,4.8,1.2,1.2,0.0,6.0
2024-02-28,7.1,1.9,4.6,0.3,0.3,0.0,3.0
2024-02-29,11.1,1.2,5.4,0.0,0.0,0.0,0.0
2024-03-01,10.4,1.0,5.5,2.0,2.0,0.0,7.0
2024-03-02,12.4,3.0,6.5,3.0,3.0,0.0,9.0
2024-03-03,17.1,1.4,7.9,0.0,0.0,0.0,0.0
2024-03-04,9.5,3.5,6.6,0.0,0.0,0.0,0.0
2024-03-05,9.1,5.0,6.4,2.9,2.9,0.0,11.0
2024-03-06,5.2,3.0,3.9,12.6,12.6,0.0,17.0
2024-03-07,7.2,0.4,3.7,0.9,0.9,0.0,4.0
2024-03-08,9.6,-2.2,3.1,0.0,0.0,0.0,0.0
2024-03-09,15.3,-2.0,5.9,0.0,0.0,0.0,0.0
2024-03-10,17.5,2.3,9.8,0.4,0.4,0.0,2.0
2024-03-11,11.6,0.9,6.4,0.1,0.1,0.0,1.0
2024-03-12,8.9,3.8,5.9,3.3,3.3,0.0,14.0
2024-03-13,10.4,3.8,6.9,5.9,5.9,0.0,14.0
2024-03-14,15.1,5.2,9.3,0.0,0.0,0.0,0.0
2024-03-15,15.9,6.6,10.4,1.9,1.9,0.0,6.0
2024-03-16,13.2,6.7,9.2,7.0,7.0,0.0,13.0
2024-03-17,13.9,6.0,9.2,0.3,0.3,0.0,3.0
2024-03-18,11.2,6.6,8.6,9.4,9.4,0.0,13.0
2024-03-19,13.6,5.2,8.8,2.0,2.0,0.0,8.0
2024-03-20,16.4,2.0,8.9,0.0,0.0,0.0,0.0
2024-03-21,12.6,4.9,8.5,14.1,14.1,0.0,15.0
2024-03-22,16.6,4.8,10.0,0.0,0.0,0.0,0.0
2024-03-23,13.6,2.5,7.2,5.2,5.2,0.0,9.0
2024-03-24,7.0,1.9,3.6,6.7,2.1,3.22,14.0
2024-03-25,10.0,0.9,5.1,0.0,0.0,0.0,0.0
2024-03-26,16.0,-2.3,6.7,0.0,0.0,0.0,0.0
2024-03-27,19.9,3.6,10.3,7.2,7.2,0.0,8.0
2024-03-28,12.8,0.7,5.3,2.9,2.9,0.0,7.0
2024-03-29,20.5,0.6,10.7,0.0,0.0,0.0,0.0
2024-03-30,21.7,6.8,14.5,0.0,0.0,0.0,0.0
2024-03-31,19.4,6.1,12.8,0.0,0.0,0.0,0.0
2024-04-01,13.3,6.1,9.6,1.4,1.4,0.0,10.0
2024-04-02,12.0,5.2,8.2,0.4,0.4,0.0,3.0
2024-04-03,12.9,2.7,7.9,3.8,3.8,0.0,6.0
2024-04-04,17.3,8.2,12.0,4.2,4.2,0.0,5.0
